insured name,insured address,country of incorporation,business_description,risk_type,broker _contact,class_of_business,submission_date,claims_frequency,Largest_single_loss,incurred_Loss,Ultimate_Premium,Loss_Ratio,TIV
Atlantic Capital Partners Ltd,"45 Business Park, City_135, UK",United Kingdom,Retail & Distribution,General Liability,WTW London,Casualty,07-01-2026,0,130303,1951031,3909882,0.499,1453323884
Atlantic Foods Ltd,"61 Business Park, City_36, UK",Singapore,Oil & Gas Services,Energy Offshore,Lockton Companies,Casualty,25-01-2026,4,34574,231392,893407,0.259,1386010723
Greenfield Foods Ltd,"166 Business Park, City_22, UK",Netherlands,Marine Shipping,Professional Indemnity,WTW London,Property Damage & BI,16-01-2026,4,1353330,2691133,3106468,0.8663,269075699
Northbridge Logistics Ltd,"77 Business Park, City_147, UK",United Kingdom,Financial Advisory,Industrial All Risks,Marsh Ltd,Casualty,22-03-2026,5,1612080,2945037,9249490,0.3184,75612958
Trinity Foods Ltd,"145 Business Park, City_43, UK",France,Construction Contractor,Marine Hull,Marsh Ltd,Energy,03-03-2026,2,1619709,3868891,11292735,0.3426,1337616585
Ironclad Energy Services Ltd,"82 Business Park, City_17, UK",Singapore,Retail & Distribution,General Liability,Gallagher London,Marine,08-03-2026,1,1987237,3288758,3409453,0.9646,1352369279
Harbour Technologies Ltd,"142 Business Park, City_106, UK",United States,Financial Advisory,Marine Hull,WTW London,Marine,15-01-2026,5,1037960,1392747,5350548,0.2603,733277121
Ironclad Group PLC,"14 Business Park, City_166, UK",Germany,Retail & Distribution,Professional Indemnity,Gallagher London,Products Liability,20-02-2026,5,704582,769690,3829308,0.201,801258529
Oakridge Foods Ltd,"188 Business Park, City_164, UK",France,Marine Shipping,Energy Offshore,Gallagher London,Products Liability,07-03-2026,1,5803848,7063756,10919395,0.6469,1015102057
Northbridge Shipping Ltd,"58 Business Park, City_144, UK",Netherlands,Electronics Manufacturing,Products Liability,Aon UK Ltd,Marine,01-02-2026,4,35395,11809538,14257562,0.8283,486185642
Trinity Industries Ltd,"115 Business Park, City_18, UK",Germany,Electronics Manufacturing,Energy Offshore,Lockton Companies,Casualty,26-03-2026,2,4690658,4865006,10610702,0.4585,1345342898
Sterling Group PLC,"110 Business Park, City_171, UK",France,Construction Contractor,Professional Indemnity,Lockton Companies,Energy,15-01-2026,1,527896,848546,13237861,0.0641,1492867914
Trinity Foods Ltd,"33 Business Park, City_146, UK",Germany,Electronics Manufacturing,Products Liability,BMS Group,Products Liability,24-03-2026,1,6210862,7319909,9397752,0.7789,1366025722
Silverstone Group PLC,"95 Business Park, City_29, UK",Singapore,Marine Shipping,Professional Indemnity,Gallagher London,Products Liability,04-01-2026,2,2983136,9909765,11965426,0.8282,1357567057
Greenfield Engineering Ltd,"176 Business Park, City_49, UK",Germany,Electronics Manufacturing,Marine Hull,Aon UK Ltd,Products Liability,21-03-2026,2,2661,615972,1074808,0.5731,1173784964
BlueWave Capital Partners Ltd,"207 Business Park, City_17, UK",France,Financial Advisory,Energy Offshore,Aon UK Ltd,Property Damage & BI,27-01-2026,1,6033849,6961663,8878540,0.7841,182786019
Oakridge Logistics Ltd,"130 Business Park, City_17, UK",Germany,Construction Contractor,Marine Hull,Gallagher London,Casualty,01-01-2026,1,56261,314247,803086,0.3913,395483637
Everest Shipping Ltd,"15 Business Park, City_114, UK",France,Oil & Gas Services,Professional Indemnity,Marsh Ltd,Products Liability,14-02-2026,6,1295024,7215591,8735583,0.826,266724051
Summit Group PLC,"161 Business Park, City_181, UK",Netherlands,Marine Shipping,Energy Offshore,WTW London,Casualty,04-02-2026,6,11688320,14031441,14079311,0.9966,385785501
Trinity Engineering Ltd,"197 Business Park, City_130, UK",United States,Retail & Distribution,Products Liability,Lockton Companies,Financial Lines,29-01-2026,3,5861328,6904198,10196719,0.6771,810724562
Silverstone Holdings Ltd,"10 Business Park, City_76, UK",Germany,Manufacturing,Marine Hull,Howden UK,Marine,18-01-2026,3,358690,1977272,2134131,0.9265,1059722656
Summit Shipping Ltd,"216 Business Park, City_149, UK",United States,Construction Contractor,General Liability,Marsh Ltd,Marine,28-01-2026,6,2298378,5179399,5356707,0.9669,598660166
Crown Shipping Ltd,"88 Business Park, City_121, UK",France,Electronics Manufacturing,Products Liability,WTW London,Property Damage & BI,26-03-2026,6,4450288,7637129,11222821,0.6805,534392583
Ironclad Engineering Ltd,"146 Business Park, City_178, UK",Germany,Construction Contractor,General Liability,Lockton Companies,Marine,03-01-2026,0,1644300,1830033,9566300,0.1913,653891339
Trinity Logistics Ltd,"6 Business Park, City_63, UK",Singapore,Marine Shipping,Products Liability,Howden UK,Products Liability,20-01-2026,1,932657,2036242,3611640,0.5638,165244513
Crown Foods Ltd,"83 Business Park, City_51, UK",United States,Marine Shipping,Products Liability,Marsh Ltd,Marine,30-01-2026,6,693160,5143327,5318300,0.9671,330088388
Greenfield Energy Services Ltd,"157 Business Park, City_7, UK",France,Construction Contractor,Energy Offshore,Howden UK,Property Damage & BI,01-04-2026,4,1417614,1555915,8254193,0.1885,1094386647
Northbridge Energy Services Ltd,"63 Business Park, City_23, UK",Singapore,Construction Contractor,Energy Offshore,WTW London,Marine,03-01-2026,3,517731,5290645,5312426,0.9959,1384903767
Greenfield Capital Partners Ltd,"152 Business Park, City_42, UK",United Kingdom,Marine Shipping,Professional Indemnity,Gallagher London,Energy,23-02-2026,6,1726826,2863433,2926350,0.9785,557879366
Greenfield Holdings Ltd,"207 Business Park, City_117, UK",Singapore,Oil & Gas Services,Professional Indemnity,Howden UK,Financial Lines,18-02-2026,2,1038199,1187752,6135086,0.1936,274150705
Atlantic Energy Services Ltd,"52 Business Park, City_152, UK",France,Manufacturing,General Liability,Marsh Ltd,Products Liability,16-03-2026,1,416490,5095981,10808021,0.4715,162401321
Trinity Industries Ltd,"238 Business Park, City_133, UK",Netherlands,Oil & Gas Services,Products Liability,Gallagher London,Energy,06-03-2026,2,1081444,1343105,3119149,0.4306,68775475
Northbridge Energy Services Ltd,"105 Business Park, City_66, UK",Singapore,Manufacturing,Products Liability,Lockton Companies,Products Liability,23-03-2026,2,2251242,2901847,3102585,0.9353,1219758643
Sterling Industries Ltd,"21 Business Park, City_9, UK",Singapore,Electronics Manufacturing,Professional Indemnity,Lockton Companies,Energy,21-01-2026,4,299958,1986505,3556858,0.5585,1478495177
Highland Group PLC,"53 Business Park, City_31, UK",United States,Electronics Manufacturing,Industrial All Risks,WTW London,Energy,10-03-2026,4,2755357,3378611,6167601,0.5478,1168860489
Highland Group PLC,"133 Business Park, City_7, UK",Germany,Manufacturing,Professional Indemnity,Howden UK,Energy,11-02-2026,5,1507358,3353508,6707016,0.5,440298564
Crown Logistics Ltd,"137 Business Park, City_173, UK",United States,Manufacturing,Products Liability,WTW London,Marine,11-02-2026,0,666045,2395371,2528630,0.9473,377411208
Harbour Group PLC,"114 Business Park, City_146, UK",Germany,Food Processing,Energy Offshore,Lockton Companies,Products Liability,17-01-2026,3,658372,1443676,6604194,0.2186,565040013
Crown Group PLC,"241 Business Park, City_197, UK",France,Financial Advisory,Products Liability,Howden UK,Casualty,05-02-2026,1,1565300,3273923,11896524,0.2752,932684048
Highland Capital Partners Ltd,"46 Business Park, City_32, UK",Germany,Electronics Manufacturing,Marine Hull,WTW London,Marine,29-03-2026,2,345587,3351638,3735248,0.8973,1178494492
Oakridge Foods Ltd,"156 Business Park, City_96, UK",United Kingdom,Manufacturing,General Liability,Gallagher London,Products Liability,07-02-2026,6,784325,1567256,1809556,0.8661,382317891
Summit Engineering Ltd,"89 Business Park, City_138, UK",United States,Oil & Gas Services,Industrial All Risks,Lockton Companies,Financial Lines,18-03-2026,5,437310,1802030,3000883,0.6005,334451581
Harbour Industries Ltd,"110 Business Park, City_5, UK",Netherlands,Oil & Gas Services,Professional Indemnity,BMS Group,Financial Lines,01-03-2026,3,2649993,6416265,13049147,0.4917,137238111
Oakridge Shipping Ltd,"25 Business Park, City_179, UK",France,Oil & Gas Services,Marine Hull,Aon UK Ltd,Products Liability,29-01-2026,1,1102,116047,714136,0.1625,776727240
Redwood Technologies Ltd,"180 Business Park, City_58, UK",United States,Food Processing,Marine Hull,BMS Group,Marine,13-03-2026,4,265258,3447635,10107403,0.3411,526027805
BlueWave Foods Ltd,"105 Business Park, City_180, UK",Singapore,Manufacturing,Marine Hull,WTW London,Products Liability,16-03-2026,5,300953,709263,753014,0.9419,174415525
Silverstone Industries Ltd,"146 Business Park, City_126, UK",United Kingdom,Retail & Distribution,Energy Offshore,Howden UK,Casualty,21-03-2026,1,1570324,9965315,13349384,0.7465,1227109531
Everest Holdings Ltd,"105 Business Park, City_103, UK",Germany,Food Processing,Marine Hull,Gallagher London,Property Damage & BI,26-03-2026,0,617486,1607245,7465143,0.2153,1296840552
Oakridge Capital Partners Ltd,"221 Business Park, City_183, UK",United States,Manufacturing,Professional Indemnity,Gallagher London,Energy,11-03-2026,3,2160645,5157946,8307209,0.6209,1203801900
Redwood Shipping Ltd,"225 Business Park, City_112, UK",Germany,Construction Contractor,General Liability,Gallagher London,Financial Lines,14-02-2026,6,19107,442064,1113233,0.3971,993654339
Sterling Shipping Ltd,"150 Business Park, City_69, UK",United Kingdom,Electronics Manufacturing,Energy Offshore,BMS Group,Casualty,16-02-2026,5,3468637,3972833,11162780,0.3559,759358065
Trinity Foods Ltd,"41 Business Park, City_188, UK",Singapore,Oil & Gas Services,General Liability,BMS Group,Products Liability,24-02-2026,3,1488338,2015395,2674357,0.7536,599737358
Summit Engineering Ltd,"240 Business Park, City_73, UK",United States,Construction Contractor,Energy Offshore,WTW London,Property Damage & BI,04-02-2026,3,2381353,3888891,8665089,0.4488,1202992770
Redwood Technologies Ltd,"30 Business Park, City_65, UK",France,Food Processing,Products Liability,Lockton Companies,Marine,08-01-2026,3,24126,2537827,2727967,0.9303,104822478
Ironclad Shipping Ltd,"236 Business Park, City_24, UK",Netherlands,Oil & Gas Services,Professional Indemnity,BMS Group,Energy,01-04-2026,0,4990731,5968694,8375939,0.7126,1293177083
Harbour Industries Ltd,"3 Business Park, City_37, UK",Netherlands,Food Processing,Products Liability,Aon UK Ltd,Energy,27-03-2026,6,1088266,1100294,4516807,0.2436,886716760
Harbour Engineering Ltd,"173 Business Park, City_48, UK",Singapore,Financial Advisory,Energy Offshore,WTW London,Energy,18-02-2026,3,247610,318302,342187,0.9302,331382717
BlueWave Foods Ltd,"33 Business Park, City_72, UK",United Kingdom,Electronics Manufacturing,General Liability,Lockton Companies,Property Damage & BI,01-01-2026,2,400098,1492177,5512294,0.2707,317689634
Ironclad Logistics Ltd,"83 Business Park, City_85, UK",France,Retail & Distribution,Energy Offshore,Lockton Companies,Financial Lines,17-02-2026,2,884831,2062064,5634055,0.366,1146410855
Redwood Energy Services Ltd,"95 Business Park, City_67, UK",France,Construction Contractor,Professional Indemnity,Lockton Companies,Property Damage & BI,22-01-2026,1,85706,553430,3672402,0.1507,30471963
Trinity Shipping Ltd,"14 Business Park, City_60, UK",United States,Manufacturing,Marine Hull,Gallagher London,Products Liability,30-03-2026,0,665286,1032633,1245037,0.8294,430738699
Greenfield Group PLC,"52 Business Park, City_174, UK",United Kingdom,Food Processing,Energy Offshore,BMS Group,Products Liability,04-01-2026,1,1045246,3048465,4823521,0.632,977020713
Northbridge Logistics Ltd,"185 Business Park, City_59, UK",France,Electronics Manufacturing,Energy Offshore,Aon UK Ltd,Financial Lines,15-03-2026,5,2608603,8962462,9185674,0.9757,1017357585
Sterling Group PLC,"217 Business Park, City_73, UK",United States,Construction Contractor,Marine Hull,Lockton Companies,Casualty,13-02-2026,4,616629,711436,1102148,0.6455,85675377
Trinity Shipping Ltd,"10 Business Park, City_123, UK",Singapore,Construction Contractor,Products Liability,BMS Group,Property Damage & BI,04-01-2026,4,2198416,6123432,7189659,0.8517,469138680
Trinity Technologies Ltd,"245 Business Park, City_134, UK",Netherlands,Financial Advisory,Energy Offshore,Lockton Companies,Casualty,01-01-2026,0,4037447,6092436,6180822,0.9857,31116583
Ironclad Engineering Ltd,"143 Business Park, City_81, UK",Netherlands,Manufacturing,Products Liability,Lockton Companies,Products Liability,01-04-2026,6,393709,3696375,11359481,0.3254,471644336
Greenfield Energy Services Ltd,"31 Business Park, City_155, UK",Singapore,Oil & Gas Services,Energy Offshore,Marsh Ltd,Casualty,14-02-2026,4,2651217,5151642,5629595,0.9151,342446328
Trinity Capital Partners Ltd,"100 Business Park, City_124, UK",United States,Retail & Distribution,Industrial All Risks,Marsh Ltd,Casualty,01-04-2026,1,2790690,3549046,7695244,0.4612,493284019
Atlantic Logistics Ltd,"14 Business Park, City_153, UK",United States,Electronics Manufacturing,Products Liability,Lockton Companies,Marine,31-03-2026,1,1564500,2670501,9295166,0.2873,1066984993
Everest Technologies Ltd,"72 Business Park, City_41, UK",United States,Retail & Distribution,General Liability,BMS Group,Property Damage & BI,11-02-2026,5,2997275,5777261,7941253,0.7275,1311840282
Highland Holdings Ltd,"198 Business Park, City_50, UK",Germany,Electronics Manufacturing,Industrial All Risks,WTW London,Marine,08-02-2026,4,166928,492596,3667885,0.1343,1146159208
Sterling Industries Ltd,"202 Business Park, City_182, UK",France,Electronics Manufacturing,Marine Hull,Howden UK,Marine,01-01-2026,3,809439,2981430,11728682,0.2542,295876143
Trinity Capital Partners Ltd,"62 Business Park, City_14, UK",France,Construction Contractor,Professional Indemnity,BMS Group,Financial Lines,28-02-2026,0,5117398,8180459,13591061,0.6019,1300578578
Summit Engineering Ltd,"138 Business Park, City_166, UK",Singapore,Manufacturing,General Liability,WTW London,Property Damage & BI,03-03-2026,1,4363354,4623365,6606695,0.6998,1361592486
Sterling Technologies Ltd,"115 Business Park, City_187, UK",United Kingdom,Food Processing,Products Liability,Lockton Companies,Marine,07-02-2026,3,72915,4511817,6466701,0.6977,664878296
Highland Technologies Ltd,"24 Business Park, City_139, UK",Netherlands,Manufacturing,Industrial All Risks,Aon UK Ltd,Property Damage & BI,16-01-2026,0,3297410,5654294,14883639,0.3799,671982190
Ironclad Logistics Ltd,"210 Business Park, City_122, UK",United Kingdom,Electronics Manufacturing,Industrial All Risks,Gallagher London,Property Damage & BI,03-03-2026,2,2285295,3493383,13088737,0.2669,1061694152
Crown Foods Ltd,"201 Business Park, City_55, UK",France,Marine Shipping,Energy Offshore,Marsh Ltd,Casualty,12-03-2026,4,1059350,1436010,1528321,0.9396,77912939
Oakridge Capital Partners Ltd,"138 Business Park, City_166, UK",France,Oil & Gas Services,General Liability,BMS Group,Energy,21-03-2026,2,391745,748944,2514924,0.2978,1102391192
Atlantic Holdings Ltd,"173 Business Park, City_23, UK",France,Electronics Manufacturing,Energy Offshore,Marsh Ltd,Marine,20-02-2026,3,1137697,2870567,6371959,0.4505,1305120423
Northbridge Foods Ltd,"141 Business Park, City_175, UK",Netherlands,Food Processing,Marine Hull,BMS Group,Property Damage & BI,06-01-2026,4,24699,301506,2997084,0.1006,1106553888
Oakridge Energy Services Ltd,"118 Business Park, City_67, UK",France,Manufacturing,Products Liability,Aon UK Ltd,Property Damage & BI,01-04-2026,0,112102,204503,2313387,0.0884,1139170209
Crown Engineering Ltd,"9 Business Park, City_113, UK",United States,Construction Contractor,Energy Offshore,Marsh Ltd,Products Liability,27-01-2026,0,121122,511486,5961385,0.0858,629745188
Summit Technologies Ltd,"218 Business Park, City_165, UK",Netherlands,Electronics Manufacturing,Products Liability,Lockton Companies,Casualty,11-02-2026,3,708655,991123,7104828,0.1395,1042042854
Greenfield Industries Ltd,"124 Business Park, City_46, UK",United Kingdom,Construction Contractor,General Liability,Marsh Ltd,Financial Lines,14-01-2026,4,2863805,3372575,6362150,0.5301,1119600462
Trinity Shipping Ltd,"166 Business Park, City_19, UK",France,Marine Shipping,Professional Indemnity,Marsh Ltd,Energy,03-02-2026,2,1422634,9057753,13217209,0.6853,1123744099
Redwood Engineering Ltd,"108 Business Park, City_120, UK",Singapore,Marine Shipping,Industrial All Risks,WTW London,Marine,09-03-2026,1,252432,1248085,1590728,0.7846,3431724
Northbridge Industries Ltd,"1 Business Park, City_57, UK",France,Construction Contractor,General Liability,Gallagher London,Financial Lines,29-03-2026,5,1319365,2337411,10031808,0.233,990533933
Highland Shipping Ltd,"27 Business Park, City_154, UK",Singapore,Retail & Distribution,General Liability,Gallagher London,Casualty,22-03-2026,5,1155666,8461954,8886741,0.9522,1432538132
BlueWave Shipping Ltd,"50 Business Park, City_137, UK",United States,Construction Contractor,General Liability,WTW London,Products Liability,23-03-2026,2,145926,320937,4644535,0.0691,1104868269
Oakridge Holdings Ltd,"40 Business Park, City_7, UK",Germany,Financial Advisory,Energy Offshore,Gallagher London,Property Damage & BI,15-01-2026,5,5048620,14763471,14971576,0.9861,1056687727
Greenfield Energy Services Ltd,"119 Business Park, City_172, UK",France,Oil & Gas Services,Industrial All Risks,WTW London,Financial Lines,13-02-2026,6,30810,3489775,9704603,0.3596,405655716
Highland Shipping Ltd,"9 Business Park, City_132, UK",Singapore,Retail & Distribution,Products Liability,Howden UK,Property Damage & BI,08-02-2026,0,370038,830105,7339572,0.1131,963106778
Summit Energy Services Ltd,"158 Business Park, City_151, UK",United Kingdom,Manufacturing,Marine Hull,Howden UK,Energy,02-02-2026,4,2854394,8161811,8377963,0.9742,341040453
Greenfield Industries Ltd,"223 Business Park, City_43, UK",United Kingdom,Oil & Gas Services,General Liability,WTW London,Marine,01-04-2026,3,44088,550296,8947908,0.0615,798927624
Sterling Energy Services Ltd,"74 Business Park, City_67, UK",Netherlands,Financial Advisory,Products Liability,Howden UK,Casualty,15-01-2026,1,490638,2561415,5125906,0.4997,681955571
Northbridge Capital Partners Ltd,"132 Business Park, City_99, UK",Germany,Marine Shipping,Professional Indemnity,BMS Group,Products Liability,03-02-2026,6,2672658,2983206,9635679,0.3096,612095659
Northbridge Logistics Ltd,"236 Business Park, City_157, UK",Netherlands,Marine Shipping,Marine Hull,WTW London,Property Damage & BI,09-02-2026,6,4842755,9663304,13343420,0.7242,475754255
Atlantic Engineering Ltd,"177 Business Park, City_12, UK",Germany,Oil & Gas Services,Products Liability,Aon UK Ltd,Property Damage & BI,01-03-2026,2,4585349,11710500,13069755,0.896,546705824
Sterling Shipping Ltd,"160 Business Park, City_192, UK",Netherlands,Marine Shipping,Industrial All Risks,WTW London,Casualty,12-03-2026,5,353120,5794657,14566760,0.3978,870054135
Northbridge Engineering Ltd,"81 Business Park, City_157, UK",Germany,Retail & Distribution,Professional Indemnity,WTW London,Casualty,20-03-2026,4,13144,176807,1733406,0.102,1150615483
Crown Logistics Ltd,"12 Business Park, City_115, UK",Singapore,Food Processing,Energy Offshore,Aon UK Ltd,Casualty,26-03-2026,0,2553779,3076642,8892031,0.346,563406621
Sterling Logistics Ltd,"127 Business Park, City_111, UK",Singapore,Oil & Gas Services,General Liability,Gallagher London,Financial Lines,24-01-2026,5,2027341,10063778,11610266,0.8668,1048100833
Northbridge Logistics Ltd,"117 Business Park, City_195, UK",France,Manufacturing,Industrial All Risks,Marsh Ltd,Property Damage & BI,11-02-2026,3,1310687,2805475,14147631,0.1983,1054614601
Everest Foods Ltd,"182 Business Park, City_56, UK",United Kingdom,Marine Shipping,Professional Indemnity,Marsh Ltd,Energy,15-03-2026,1,731839,754384,1166695,0.6466,190403515
Atlantic Shipping Ltd,"25 Business Park, City_51, UK",Netherlands,Food Processing,Marine Hull,Aon UK Ltd,Energy,26-02-2026,6,41769,117921,1147093,0.1028,1432407176
Ironclad Energy Services Ltd,"17 Business Park, City_158, UK",United States,Manufacturing,Professional Indemnity,Gallagher London,Products Liability,01-03-2026,1,588186,1250087,4337569,0.2882,744511909
Silverstone Logistics Ltd,"74 Business Park, City_32, UK",United Kingdom,Food Processing,Products Liability,Gallagher London,Energy,23-03-2026,0,347079,3047598,4137386,0.7366,1297226038
Northbridge Holdings Ltd,"17 Business Park, City_89, UK",Singapore,Manufacturing,General Liability,Gallagher London,Property Damage & BI,07-01-2026,5,2745789,4654124,6680242,0.6967,1492178587
Silverstone Industries Ltd,"162 Business Park, City_25, UK",France,Construction Contractor,Marine Hull,BMS Group,Marine,05-02-2026,1,745235,993441,4930233,0.2015,665261660
Everest Foods Ltd,"132 Business Park, City_82, UK",Germany,Manufacturing,Professional Indemnity,WTW London,Financial Lines,25-03-2026,3,3806647,11178924,14164882,0.7892,683854023
Trinity Group PLC,"137 Business Park, City_184, UK",France,Construction Contractor,Marine Hull,Marsh Ltd,Energy,30-03-2026,0,545365,13681600,13932383,0.982,906247004
Trinity Group PLC,"171 Business Park, City_22, UK",United States,Retail & Distribution,Industrial All Risks,Howden UK,Casualty,22-03-2026,0,161935,1267468,5116949,0.2477,669679311
Harbour Industries Ltd,"166 Business Park, City_7, UK",Netherlands,Retail & Distribution,Energy Offshore,Gallagher London,Financial Lines,25-01-2026,3,1103828,1228728,5461015,0.225,222709242
Greenfield Energy Services Ltd,"95 Business Park, City_197, UK",Singapore,Retail & Distribution,Industrial All Risks,Howden UK,Products Liability,19-01-2026,4,1188377,11172056,12527536,0.8918,1150327770
Crown Logistics Ltd,"208 Business Park, City_164, UK",Netherlands,Manufacturing,Industrial All Risks,BMS Group,Marine,08-03-2026,1,121676,1664959,9459998,0.176,1263884934
Silverstone Technologies Ltd,"69 Business Park, City_86, UK",United Kingdom,Oil & Gas Services,Energy Offshore,Howden UK,Energy,30-01-2026,5,2822268,6317760,9685361,0.6523,336208611
Summit Group PLC,"173 Business Park, City_64, UK",France,Food Processing,Energy Offshore,BMS Group,Casualty,15-02-2026,3,1342020,6777897,8067005,0.8402,672904901
Northbridge Engineering Ltd,"234 Business Park, City_43, UK",Singapore,Electronics Manufacturing,Products Liability,Lockton Companies,Property Damage & BI,11-02-2026,4,760967,3483772,6532481,0.5333,1172557834
BlueWave Group PLC,"157 Business Park, City_117, UK",France,Construction Contractor,Marine Hull,Howden UK,Financial Lines,14-03-2026,1,4898657,9596998,11877474,0.808,192959762
BlueWave Foods Ltd,"206 Business Park, City_104, UK",Germany,Food Processing,Marine Hull,WTW London,Products Liability,20-03-2026,6,456566,488910,1673206,0.2922,873786814
Ironclad Technologies Ltd,"84 Business Park, City_32, UK",Singapore,Marine Shipping,Industrial All Risks,Howden UK,Products Liability,03-02-2026,2,2422110,3260525,4592290,0.71,132803241
Redwood Capital Partners Ltd,"144 Business Park, City_93, UK",Singapore,Manufacturing,General Liability,Howden UK,Products Liability,22-02-2026,6,48043,4680580,10956414,0.4272,454195288
Highland Energy Services Ltd,"134 Business Park, City_31, UK",United States,Food Processing,General Liability,Lockton Companies,Energy,25-01-2026,2,2718786,7257910,11493128,0.6315,876945862
